income,age,p
1900.8,21.16,0.0009
1900.8,24.32,0.00404
1900.8,27.48,0.00673
1900.8,30.64,0.00404
1900.8,33.8,0.00717
1900.8,36.96,0.00359
1900.8,40.12,0.00538
1900.8,43.28,0.00448
1900.8,46.44,0.00852
1900.8,49.6,0.00583
1900.8,52.76,0.01031
1900.8,55.92,0.01076
1900.8,59.08,0.00628
1900.8,62.24,0.00717
1900.8,65.4,0.00583
1900.8,68.56,0.00448
1900.8,71.72,0.00404
1900.8,74.88,0.00179
1900.8,78.04,0.00314
1900.8,81.2,0.00359
1900.8,84.36,0.00314
1900.8,87.52,0.00135
1900.8,90.68,0.0009
1900.8,93.84,0.0
1900.8,97.0,0.0
1900.8,100.16,0.0
1900.8,103.32,0.0
2280.76,11.68,0.0
2280.76,14.84,0.0
2280.76,18.0,0.0
2280.76,21.16,0.0
2280.76,24.32,0.00179
2280.76,27.48,0.00493
2280.76,30.64,0.00628
2280.76,33.8,0.00583
2280.76,36.96,0.00538
2280.76,40.12,0.00179
2280.76,43.28,0.00359
2280.76,46.44,0.00852
2280.76,49.6,0.00538
2280.76,52.76,0.00583
2280.76,55.92,0.00673
2280.76,59.08,0.00314
2280.76,62.24,0.00224
2280.76,65.4,0.00314
2280.76,68.56,0.00493
2280.76,71.72,0.00269
2280.76,74.88,0.00269
2280.76,78.04,0.0009
2280.76,81.2,0.0009
2280.76,84.36,0.0009
2280.76,87.52,0.0
2280.76,90.68,0.00045
2280.76,93.84,0.0
2280.76,97.0,0.0
2280.76,100.16,0.0
2280.76,103.32,0.0
2660.72,11.68,0.0
2660.72,14.84,0.0
2660.72,18.0,0.0
2660.72,21.16,0.0
2660.72,24.32,0.00045
2660.72,27.48,0.00269
2660.72,30.64,0.00269
2660.72,33.8,0.00179
2660.72,36.96,0.00179
2660.72,40.12,0.00224
2660.72,43.28,0.00179
2660.72,46.44,0.00807
2660.72,49.6,0.00359
2660.72,52.76,0.00628
2660.72,55.92,0.00359
2660.72,59.08,0.00359
2660.72,62.24,0.00359
2660.72,65.4,0.00359
2660.72,68.56,0.00359
2660.72,71.72,0.00179
2660.72,74.88,0.00269
2660.72,78.04,0.00045
2660.72,81.2,0.00045
2660.72,84.36,0.00045
2660.72,87.52,0.0009
2660.72,90.68,0.0
2660.72,93.84,0.0
2660.72,97.0,0.0
2660.72,100.16,0.0
2660.72,103.32,0.0
3040.68,11.68,0.0
3040.68,14.84,0.0
3040.68,18.0,0.0
3040.68,21.16,0.0
3040.68,24.32,0.0009
3040.68,27.48,0.00135
3040.68,30.64,0.0009
3040.68,33.8,0.00314
3040.68,36.96,0.00224
3040.68,40.12,0.00135
3040.68,43.28,0.00404
3040.68,46.44,0.00628
3040.68,49.6,0.00404
3040.68,52.76,0.00404
3040.68,55.92,0.00224
3040.68,59.08,0.00359
3040.68,62.24,0.00314
3040.68,65.4,0.00224
3040.68,68.56,0.00359
3040.68,71.72,0.00135
3040.68,74.88,0.00045
3040.68,78.04,0.00135
3040.68,81.2,0.00045
3040.68,84.36,0.0
3040.68,87.52,0.0009
3040.68,90.68,0.0
3040.68,93.84,0.0
3040.68,97.0,0.0
3040.68,100.16,0.0
3040.68,103.32,0.0
3420.64,11.68,0.0
3420.64,14.84,0.0
3420.64,18.0,0.0
3420.64,21.16,0.0
3420.64,24.32,0.0
3420.64,27.48,0.00045
3420.64,30.64,0.00179
3420.64,33.8,0.00179
3420.64,36.96,0.00269
3420.64,40.12,0.0009
3420.64,43.28,0.00314
3420.64,46.44,0.00314
3420.64,49.6,0.00359
3420.64,52.76,0.00404
3420.64,55.92,0.00224
3420.64,59.08,0.00404
