linearity,z_min
0.2762,-0.078
0.4201,7.1277
0.215,3.1188
0.3571,13.4604
0.3054,3.2324
0.3068,13.679
0.8287,7.2170000000000005
0.3532,2.524
0.8504,-0.013999999999999999
0.3557,0.54
0.2163,0.19699999999999998
0.3179,1.608
0.2489,19.11
0.5112,0.597
0.2492,6.935
0.2246,-0.031
0.429,5.932
0.2847,2.531
0.3049,7.0243
0.2862,4.5855
0.5062,-0.13
0.2744,16.5569
0.3472,-0.08
0.38299999999999995,12.2
0.298,6.3845
0.3644,5.608
0.649,13.845999999999998
0.327,-0.039
0.2785,-0.027000000000000003
0.3173,16.284000000000002
0.3628,1.4335
0.2506,0.0341
0.3877,1.3559999999999999
0.3002,2.97
0.3749,-0.235
0.2355,10.0345
0.2118,8.478
0.41100000000000003,8.662
0.2857,9.506
0.7397,9.29
0.4111,-0.053
0.496,11.343
0.3784,17.3
0.6328,7.712000000000001
0.2711,-0.0485
0.3973,1.0290000000000001
0.2115,5.3706
0.5577,15.434000000000001
0.1892,1.3413
0.2939,15.9237
0.41,0.21600000000000003
0.3325,8.9813
0.2313,8.1706
0.1126,4.9245
0.5486,-0.04
0.2043,1.9969999999999999
0.3061,2.9373
0.3443,-0.033
0.3459,1.463
0.3197,2.7889999999999997
0.5375,-0.062
0.3238,-0.1998
0.3352,-0.032
0.2577,-0.015
0.2691,1.755
0.2935,0.2423
0.3445,-0.115
0.3333,-0.006999999999999999
0.213,0.7655
0.6062,12.629000000000001
0.5034,15.5875
0.259,8.048
0.36,0.045
0.2311,11.365
0.4183,2.426
0.2174,-0.044000000000000004
0.3274,1.8297
0.2425,-0.05
0.3286,5.142
0.6313,8.169
0.5482,10.0276
0.2481,1.6118
0.3662,1.3175
0.4044,1.5590000000000002
0.7901,0.11199999999999999
0.1971,-0.0379
0.2716,6.737
0.3884,15.307
0.2855,18.4893
0.2551,0.028999999999999998
0.4058,2.061
0.4454,11.3387
0.3086,12.117
0.2264,5.3870000000000005
0.2769,2.479
0.2957,-0.06
0.2751,-0.048
0.1945,5.0825
0.2975,-0.025
0.48,5.537999999999999
0.19699999999999998,0.3743
0.3338,4.3065
0.1715,-0.0134
0.3297,4.396
0.3164,6.832000000000001
0.3012,9.482999999999999
0.2572,-0.033
0.3464,-0.049
0.2675,4.5419
0.2869,-0.032
0.3866,10.645
0.4148,9.7635
0.5153,0.03
0.3557,15.921
0.5044,0.092
0.4206,3.38
0.5553,2.3242
0.2814,-0.08900000000000001
0.4249,0.295
0.3146,1.103
0.385,9.6299
0.4597,4.2235
0.1881,3.3305
0.2776,-0.091
0.3991,-0.052000000000000005
0.4909,7.607
0.3113,0.4712
0.2692,-0.006999999999999999
0.4296,7.5489999999999995
0.2551,4.588
0.3389,15.514000000000001
0.2384,13.1333
0.3317,0.3405
0.7674,9.442
0.2215,0.023
0.32299999999999995,1.9240000000000002
0.5023,3.5425
0.2615,4.2935
0.2698,-0.013000000000000001
0.327,9.3938
0.2924,29.848000000000003
0.3342,2.028
0.4359,4.0478
0.2529,4.6183
0.5438,8.433
0.2657,2.917
0.297,1.787
0.0974,-0.0173
0.3299,-0.0377
0.3325,11.392999999999999
0.3302,10.222000000000001
0.2079,-0.059000000000000004
0.4206,4.4327
0.6871,0.958
0.5189,-0.052000000000000005
0.2498,0.0234
0.2325,4.894
0.2297,2.563
0.4037,-0.12
0.2767,4.381
0.4515,1.831
0.2946,3.7364
0.3895,13.2257
0.5115,1.0258
0.3353,3.4683
0.1579,0.003
0.4309,-0.049
0.2661,1.6903
0.1978,0.0027
0.3717,1.9615
0.3244,-0.062
0.424,0.032
0.8093,-0.1302
0.3455,1.4967
0.1647,1.2287
0.4091,1.808
0.1916,-0.285
0.3582,16.399
0.8526,6.3322
0.2517,-0.063
0.27,3.115
0.1887,23.502
0.4948,9.4326
0.2607,0.1217
0.1648,9.155
0.2432,-0.043
0.2486,6.962999999999999
0.4894,1.1132
0.2675,0.0402
0.3109,11.209000000000001
0.2892,1.706
0.2366,6.4
0.3127,2.3783
0.4956,-0.168
0.4303,6.121
0.4388,5.627999999999999
0.2261,0.425
0.2859,13.845
0.2573,1.574
0.3235,11.475
0.2856,1.1816
0.4445,0.187
0.2314,-0.142
0.3234,10.3837
0.1412,-0.6779
0.1798,1.7725
0.3476,-0.054000000000000006
0.5028,3.3235
0.7347,22.0869
0.2533,1.5727
0.2372,-0.1663
0.3408,-0.039
0.3931,7.051
0.2892,6.591
0.5494,-0.045
0.312,9.9666
0.2779,4.4907
0.3357,0.3391
0.3907,0.7
0.3077,-0.11900000000000001
0.3372,-0.034
0.2639,7.9397
0.2425,4.734
0.3915,-0.048
0.3439,5.0726
0.35600000000000004,0.5911
0.4385,15.482000000000001
0.4905,6.79
0.3025,-0.009000000000000001
0.2868,7.276
0.4202,1.133
0.3993,5.4479999999999995
0.4753,6.1875
0.6163,0.1252
0.3122,12.800999999999998
0.2094,-0.013000000000000001
0.2838,0.096
0.2125,8.5829
0.2877,3.602
0.5256,1.2263
0.485,1.5327
0.5664,7.542999999999999
0.4272,12.3877
0.3736,10.119
0.2902,11.0735
0.3059,6.88
0.3431,0.7317
0.363,4.541
0.2419,-0.027000000000000003
0.4382,5.069
0.2989,0.846
0.4238,0.425
0.5067,-0.001
0.8504,-0.013999999999999999
0.2598,7.8660000000000005
0.1698,0.03
0.2077,-0.038
0.4228,10.208
0.2717,1.252
0.1552,-0.017
0.3136,9.186
0.475,-0.037000000000000005
0.3892,1.7469999999999999
0.1528,-0.052000000000000005
0.2465,1.4380000000000002
0.8574,1.5933
0.6715,7.742999999999999
0.391,7.337999999999999
0.2903,5.029
0.3469,10.74
0.3322,9.956
0.2897,0.0931
0.4933,6.541
0.3516,2.552
0.2337,-0.0206
0.5168,4.077
0.2955,1.1792
0.1245,6.354
0.2822,-0.044000000000000004
0.4997,0.8170000000000001
0.1813,-0.0258
0.3552,-0.055
0.2835,7.6813
0.2619,0.8220000000000001
0.1639,-0.017
0.6942,2.017
0.4297,9.1312
0.2293,5.307
0.3118,3.5023
0.4537,0.0082
0.5064,2.64
0.3026,1.8892
0.2015,-0.898
0.3127,3.4345
0.2725,3.0292
0.4094,3.2647
0.4021,3.332
0.8525,4.587
0.221,-0.002
0.3417,3.592
0.6138,0.3175
0.3753,3.2825
0.2677,17.9335
0.3466,3.2377
0.21100000000000002,-0.166
0.2382,-0.038
0.2417,-0.012
0.3916,0.1202
0.3073,2.1383
0.3171,6.064
0.4001,15.19
0.3778,3.2906
0.1846,2.2386
0.4901,1.6217
0.3364,5.504
0.2271,0.34700000000000003
0.2622,-0.083
0.2216,0.7779
0.3368,0.22699999999999998
0.327,0.5920000000000001
0.2397,2.1319999999999997
0.4308,2.369
0.2709,3.1180000000000003
0.2975,-0.043
0.4314,15.704
0.6186,1.1965
0.4576,16.542
0.348,6.281000000000001
0.5951,10.697000000000001
0.1625,-0.0006
0.2567,11.6777
0.2429,6.7208
0.2743,2.5233
0.4554,19.048
0.4194,-0.4555
0.3659,5.638999999999999
0.2745,4.8832
0.2756,1.6283
0.1377,18.794
0.2759,-0.1183
0.2293,2.6860000000000004
0.3038,6.1193
0.1995,5.501
0.2571,1.0486
0.5539999999999999,6.6403
0.3121,-0.077
0.3434,15.901
0.4035,6.69
0.2476,1.0013
0.2448,0.278
0.2411,4.2773
0.4137,3.125
0.3508,-0.08900000000000001
0.8075,-0.04
0.3116,9.2059
0.1813,-0.0391
0.2905,0.015
0.4277,0.879
0.2949,-0.035
0.2467,30.164
0.3431,-0.0385
0.2274,-0.244
0.198,13.5875
0.2921,8.6664
0.2928,4.592
0.3111,1.454
0.5134,-0.048
0.255,10.0809
0.3433,8.187000000000001
0.2901,7.0520000000000005
0.3097,4.81
0.3176,0.0156
0.44,-0.156
0.4286,8.956
0.4355,6.4745
0.4676,7.962000000000001
0.5768,5.303999999999999
0.2865,2.0815
0.2834,4.441
